manager_id,award_id,year
torboje01,BBWAA Manager of the year,1990
leylaji99,BBWAA Manager of the year,1990
leylaji99,TSN Manager of the Year,1990
torboje01,TSN Manager of the Year,1990
kellyto01,BBWAA Manager of the year,1991
coxbo01,BBWAA Manager of the year,1991
coxbo01,TSN Manager of the Year,1991
kellyto01,TSN Manager of the Year,1991
larusto01,BBWAA Manager of the year,1992
leylaji99,BBWAA Manager of the year,1992
larusto01,TSN Manager of the Year,1992
leylaji99,TSN Manager of the Year,1992
lamonge01,BBWAA Manager of the year,1993
bakerdu01,BBWAA Manager of the year,1993
coxbo01,TSN Manager of the Year,1993
oatesjo01,TSN Manager of the Year,1993
showabu99,BBWAA Manager of the year,1994
aloufe01,BBWAA Manager of the year,1994
aloufe01,TSN Manager of the Year,1994
showabu99,TSN Manager of the Year,1994
pinielo01,BBWAA Manager of the year,1995
baylodo01,BBWAA Manager of the year,1995
baylodo01,TSN Manager of the Year,1995
hargrmi01,TSN Manager of the Year,1995
oatesjo01,BBWAA Manager of the year,1996
torrejo01,BBWAA Manager of the year,1996
bochybr01,BBWAA Manager of the year,1996
bochybr01,TSN Manager of the Year,1996
oatesjo01,TSN Manager of the Year,1996
johnsda02,BBWAA Manager of the year,1997
bakerdu01,BBWAA Manager of the year,1997
bakerdu01,TSN Manager of the Year,1997
johnsda02,TSN Manager of the Year,1997
torrejo01,BBWAA Manager of the year,1998
dierkla01,BBWAA Manager of the year,1998
bochybr01,TSN Manager of the Year,1998
torrejo01,TSN Manager of the Year,1998
williji03,BBWAA Manager of the year,1999
mckeoja99,BBWAA Manager of the year,1999
coxbo01,TSN Manager of the Year,1999
williji03,TSN Manager of the Year,1999
manueje01,BBWAA Manager of the year,2000
bakerdu01,BBWAA Manager of the year,2000
bakerdu01,TSN Manager of the Year,2000
manueje01,TSN Manager of the Year,2000
pinielo01,BBWAA Manager of the year,2001
bowala01,BBWAA Manager of the year,2001
bowala01,TSN Manager of the Year,2001
pinielo01,TSN Manager of the Year,2001
sciosmi01,BBWAA Manager of the year,2002
larusto01,BBWAA Manager of the year,2002
coxbo01,TSN Manager of the Year,2002
sciosmi01,TSN Manager of the Year,2002
penato01,BBWAA Manager of the year,2003
mckeoja99,BBWAA Manager of the year,2003
coxbo01,TSN Manager of the Year,2003
penato01,TSN Manager of the Year,2003
showabu99,BBWAA Manager of the year,2004
coxbo01,BBWAA Manager of the year,2004
coxbo01,TSN Manager of the Year,2004
gardero01,TSN Manager of the Year,2004
guilloz01,BBWAA Manager of the year,2005
coxbo01,BBWAA Manager of the year,2005
coxbo01,TSN Manager of the Year,2005
guilloz01,TSN Manager of the Year,2005
leylaji99,BBWAA Manager of the year,2006
girarjo01,BBWAA Manager of the year,2006
girarjo01,TSN Manager of the Year,2006
leylaji99,TSN Manager of the Year,2006
wedgeer01,BBWAA Manager of the year,2007
melvibo01,BBWAA Manager of the year,2007
melvibo01,TSN Manager of the Year,2007
wedgeer01,TSN Manager of the Year,2007
maddojo99,BBWAA Manager of the year,2008
pinielo01,BBWAA Manager of the year,2008
maddojo99,TSN Manager of the Year,2008
gonzafr99,TSN Manager of the Year,2008
sciosmi01,BBWAA Manager of the year,2009
tracyji01,BBWAA Manager of the year,2009
sciosmi01,TSN Manager of the Year,2009
tracyji01,TSN Manager of the Year,2009
gardero01,BBWAA Manager of the year,2010
blackbu02,BBWAA Manager of the year,2010
gardero01,TSN Manager of the Year,2010
blackbu02,TSN Manager of the Year,2010
maddojo99,BBWAA Manager of the year,2011
gibsoki01,BBWAA Manager of the year,2011
maddojo99,TSN Manager of the Year,2011
gibsoki01,TSN Manager of the Year,2011
melvibo01,BBWAA Manager of the year,2012
johnsda02,BBWAA Manager of the year,2012
showabu99,TSN Manager of the Year,2012
johnsda02,TSN Manager of the Year,2012
francte01,BBWAA Manager of the year,2013
hurdlcl01,BBWAA Manager of the year,2013
farrejo03,TSN Manager of the Year,2013
hurdlcl01,TSN Manager of the Year,2013
showabu99,TSN Manager of the Year,2014
willima04,TSN Manager of the Year,2014
showabu99,BBWAA Manager of the year,2014
willima04,BBWAA Manager of the year,2014
molitpa01,TSN Manager of the Year,2015
collite99,TSN Manager of the Year,2015
banisje01,BBWAA Manager of the year,2015
maddojo01,BBWAA Manager of the year,2015
